shipment_id,origin,destination,carrier,mode,scheduled_departure,scheduled_arrival,distance_km,cargo_value,container_type,customer_tier
SH281,Port of Rotterdam,Port of Hamburg,Oceanic Link,Air,2026-06-05T08:00:00,2026-06-05T01:00:00,1436,1076553,Dry Van,Tier 3
SH282,Port of Hamburg,Port of Singapore,Oceanic Link,Ocean,2026-06-03T08:00:00,2026-06-12T21:00:00,11862,6896192,Flat Rack,Tier 2
SH283,Port of Singapore,Port of Hamburg,Oceanic Link,Rail,2026-06-15T08:00:00,2026-06-21T00:00:00,8694,7713589,Flat Rack,Tier 2
SH284,Port of Shanghai,Port of Mumbai,Atlas Freight,Air,2026-06-03T08:00:00,2026-06-03T02:00:00,1880,7106993,Dry Van,Tier 3
SH285,Port of Rotterdam,Port of Sydney,Apex Cargo,Ocean,2026-06-15T08:00:00,2026-06-16T10:00:00,1718,2760241,Open Top,Tier 1
SH286,Port of Newark,Port of Mumbai,Apex Cargo,Road,2026-06-08T08:00:00,2026-06-08T20:00:00,1454,655409,Open Top,Tier 2
SH287,Port of Rotterdam,Port of London,Global Trans,Air,2026-06-28T08:00:00,2026-06-28T16:00:00,13241,5137268,Open Top,Tier 1
SH288,Port of Hamburg,Port of New York,Oceanic Link,Air,2026-06-03T08:00:00,2026-06-03T14:00:00,11803,452732,Flat Rack,Tier 3
SH289,Port of Newark,Port of Shanghai,Global Trans,Rail,2026-06-24T08:00:00,2026-06-27T01:00:00,4430,5253916,Flat Rack,Tier 3
SH290,Port of Rotterdam,Port of Shanghai,Atlas Freight,Ocean,2026-06-21T08:00:00,2026-06-22T20:00:00,2204,8543836,Dry Van,Tier 2
SH291,Port of Singapore,Port of Sydney,Swift Logistics,Air,2026-06-19T08:00:00,2026-06-19T06:00:00,5295,8487482,Flat Rack,Tier 3
SH292,Port of Tokyo,Port of Singapore,Global Trans,Air,2026-06-14T08:00:00,2026-06-14T04:00:00,3219,8909060,Reefer,Tier 3
SH293,Port of Hamburg,Port of New York,Atlas Freight,Road,2026-06-17T08:00:00,2026-06-23T08:00:00,10677,8132655,Flat Rack,Tier 3
SH294,Port of Shanghai,Port of Mumbai,Global Trans,Rail,2026-06-06T08:00:00,2026-06-09T12:00:00,5043,4013735,Flat Rack,Tier 3
SH295,Port of Rotterdam,Port of New York,Global Trans,Ocean,2026-06-05T08:00:00,2026-06-13T06:00:00,9939,1242929,Open Top,Tier 3
SH296,Port of Hamburg,Port of Singapore,Atlas Freight,Rail,2026-06-17T08:00:00,2026-06-18T15:00:00,2387,5731635,Reefer,Tier 3
SH297,Port of Los Angeles,Port of New York,Oceanic Link,Air,2026-06-18T08:00:00,2026-06-18T11:00:00,9577,9211408,Reefer,Tier 1
SH298,Port of Singapore,Port of New York,Apex Cargo,Rail,2026-06-07T08:00:00,2026-06-15T15:00:00,12439,5118002,Open Top,Tier 3
SH299,Port of Hamburg,Port of Sydney,Oceanic Link,Air,2026-06-26T08:00:00,2026-06-26T18:00:00,14914,3813122,Dry Van,Tier 3
SH300,Port of Singapore,Port of New York,Global Trans,Ocean,2026-06-07T08:00:00,2026-06-14T16:00:00,9207,1768224,Dry Van,Tier 2
SH301,Port of Tokyo,Port of Singapore,Apex Cargo,Ocean,2026-06-20T08:00:00,2026-06-21T07:00:00,1598,8724163,Reefer,Tier 3
SH302,Port of Mumbai,Port of Sydney,Swift Logistics,Road,2026-06-29T08:00:00,2026-06-30T00:00:00,3396,9924813,Open Top,Tier 1
SH303,Port of Hamburg,Port of Shanghai,Apex Cargo,Road,2026-06-27T08:00:00,2026-06-29T18:00:00,4679,9849314,Standard,Tier 2
SH304,Port of Shanghai,Port of Hamburg,Atlas Freight,Air,2026-06-25T08:00:00,2026-06-25T05:00:00,4098,9358092,Dry Van,Tier 1
SH305,Port of Newark,Port of Sydney,Global Trans,Road,2026-06-14T08:00:00,2026-06-18T05:00:00,7135,2427935,Dry Van,Tier 3
SH306,Port of Shanghai,Port of Mumbai,Apex Cargo,Ocean,2026-06-20T08:00:00,2026-06-27T16:00:00,9211,6022558,Dry Van,Tier 3
SH307,Port of Tokyo,Port of Dubai,Apex Cargo,Rail,2026-06-20T08:00:00,2026-06-24T13:00:00,6559,5531140,Open Top,Tier 3
SH308,Port of Mumbai,Port of Shanghai,Oceanic Link,Air,2026-06-20T08:00:00,2026-06-20T13:00:00,10945,2931990,Standard,Tier 3
SH309,Port of Los Angeles,Port of Mumbai,Oceanic Link,Rail,2026-06-08T08:00:00,2026-06-11T21:00:00,5609,7380292,Flat Rack,Tier 3
SH310,Port of Rotterdam,Port of Shanghai,Apex Cargo,Ocean,2026-06-06T08:00:00,2026-06-09T21:00:00,4667,9217121,Reefer,Tier 2
SH311,Port of Newark,Port of Dubai,Apex Cargo,Ocean,2026-06-24T08:00:00,2026-06-26T02:00:00,2543,6787320,Dry Van,Tier 2
SH312,Port of Shanghai,Port of Mumbai,Atlas Freight,Ocean,2026-06-10T08:00:00,2026-06-13T00:00:00,3617,8083951,Open Top,Tier 3
SH313,Port of Newark,Port of Shanghai,Global Trans,Rail,2026-06-13T08:00:00,2026-06-18T22:00:00,8532,9012049,Standard,Tier 1
SH314,Port of Mumbai,Port of Hamburg,Apex Cargo,Rail,2026-06-26T08:00:00,2026-06-30T18:00:00,8333,7704502,Reefer,Tier 3
SH315,Port of Mumbai,Port of Dubai,Global Trans,Road,2026-06-11T08:00:00,2026-06-13T02:00:00,3541,9159609,Open Top,Tier 1
SH316,Port of Hamburg,Port of Sydney,Swift Logistics,Air,2026-06-08T08:00:00,2026-06-08T03:00:00,2556,5161142,Standard,Tier 3
SH317,Port of Newark,Port of Hamburg,Atlas Freight,Air,2026-06-04T08:00:00,2026-06-04T12:00:00,9799,150734,Dry Van,Tier 3
SH318,Port of Mumbai,Port of Dubai,Global Trans,Road,2026-06-14T08:00:00,2026-06-14T14:00:00,1014,7315406,Standard,Tier 1
SH319,Port of Rotterdam,Port of Hamburg,Atlas Freight,Road,2026-06-23T08:00:00,2026-06-30T07:00:00,12287,3012732,Dry Van,Tier 2
SH320,Port of Mumbai,Port of London,Apex Cargo,Rail,2026-06-19T08:00:00,2026-06-27T16:00:00,12496,2781638,Flat Rack,Tier 3
SH321,Port of Los Angeles,Port of Hamburg,Global Trans,Road,2026-06-28T08:00:00,2026-06-28T16:00:00,1161,1267060,Standard,Tier 2
SH322,Port of Singapore,Port of Dubai,Swift Logistics,Ocean,2026-06-17T08:00:00,2026-06-22T14:00:00,6736,1901317,Standard,Tier 3
SH323,Port of Mumbai,Port of New York,Global Trans,Ocean,2026-06-20T08:00:00,2026-06-22T03:00:00,2571,9434451,Open Top,Tier 2
SH324,Port of Los Angeles,Port of Shanghai,Global Trans,Ocean,2026-06-02T08:00:00,2026-06-06T08:00:00,5203,9159096,Open Top,Tier 1
SH325,Port of Newark,Port of Sydney,Global Trans,Road,2026-06-13T08:00:00,2026-06-19T00:00:00,10133,9529413,Flat Rack,Tier 2
SH326,Port of Singapore,Port of London,Oceanic Link,Road,2026-06-23T08:00:00,2026-06-30T02:00:00,13581,4264279,Open Top,Tier 3
SH327,Port of Singapore,Port of Sydney,Global Trans,Road,2026-06-28T08:00:00,2026-06-30T13:00:00,11032,438076,Standard,Tier 2
SH328,Port of Hamburg,Port of Shanghai,Oceanic Link,Rail,2026-06-25T08:00:00,2026-06-30T03:00:00,8821,6541878,Standard,Tier 2
SH329,Port of Los Angeles,Port of Hamburg,Swift Logistics,Ocean,2026-06-24T08:00:00,2026-06-28T01:00:00,4856,4221774,Standard,Tier 3
SH330,Port of Los Angeles,Port of London,Swift Logistics,Air,2026-06-12T08:00:00,2026-06-12T15:00:00,12470,2704837,Reefer,Tier 2
SH331,Port of Mumbai,Port of Hamburg,Oceanic Link,Ocean,2026-06-15T08:00:00,2026-06-20T07:00:00,6395,1992811,Standard,Tier 3
SH332,Port of Hamburg,Port of London,Apex Cargo,Ocean,2026-06-15T08:00:00,2026-06-18T09:00:00,4068,9759175,Open Top,Tier 2
SH333,Port of Tokyo,Port of New York,Atlas Freight,Road,2026-06-05T08:00:00,2026-06-05T20:00:00,1456,987841,Reefer,Tier 1
SH334,Port of Los Angeles,Port of Hamburg,Apex Cargo,Ocean,2026-06-05T08:00:00,2026-06-10T15:00:00,6762,8832882,Flat Rack,Tier 3
SH335,Port of Shanghai,Port of Mumbai,Swift Logistics,Air,2026-06-11T08:00:00,2026-06-11T12:00:00,9727,9735684,Reefer,Tier 3
SH336,Port of Mumbai,Port of Dubai,Oceanic Link,Air,2026-06-12T08:00:00,2026-06-12T15:00:00,12560,3188744,Dry Van,Tier 2
SH337,Port of Mumbai,Port of London,Apex Cargo,Rail,2026-06-23T08:00:00,2026-06-30T19:00:00,14147,6739142,Reefer,Tier 1
SH338,Port of Newark,Port of London,Apex Cargo,Road,2026-06-23T08:00:00,2026-06-30T15:00:00,12873,6064126,Reefer,Tier 3
SH339,Port of Singapore,Port of Dubai,Global Trans,Air,2026-06-15T08:00:00,2026-06-15T08:00:00,6757,8467233,Standard,Tier 3
SH340,Port of Newark,Port of Mumbai,Atlas Freight,Road,2026-06-19T08:00:00,2026-06-25T06:00:00,10555,8754813,Open Top,Tier 3
SH341,Port of Tokyo,Port of Shanghai,Apex Cargo,Rail,2026-06-06T08:00:00,2026-06-15T15:00:00,13880,4878761,Open Top,Tier 1
SH342,Port of Tokyo,Port of Mumbai,Oceanic Link,Ocean,2026-06-09T08:00:00,2026-06-13T18:00:00,5708,4926872,Flat Rack,Tier 3
SH343,Port of Rotterdam,Port of Sydney,Global Trans,Ocean,2026-06-09T08:00:00,2026-06-12T01:00:00,3673,2937698,Reefer,Tier 3
SH344,Port of Tokyo,Port of Dubai,Apex Cargo,Road,2026-06-01T08:00:00,2026-06-03T12:00:00,4212,6579845,Standard,Tier 2
SH345,Port of Los Angeles,Port of Hamburg,Apex Cargo,Road,2026-06-17T08:00:00,2026-06-19T00:00:00,3375,7028140,Standard,Tier 3
SH346,Port of Rotterdam,Port of Sydney,Global Trans,Road,2026-06-09T08:00:00,2026-06-13T11:00:00,7510,2092823,Reefer,Tier 3
SH347,Port of Rotterdam,Port of London,Global Trans,Rail,2026-06-25T08:00:00,2026-06-27T08:00:00,3363,797419,Flat Rack,Tier 3
SH348,Port of Los Angeles,Port of London,Global Trans,Rail,2026-06-06T08:00:00,2026-06-14T08:00:00,12056,621107,Dry Van,Tier 3
SH349,Port of Mumbai,Port of Dubai,Atlas Freight,Road,2026-06-15T08:00:00,2026-06-19T05:00:00,7070,8987492,Dry Van,Tier 1
SH350,Port of Hamburg,Port of London,Oceanic Link,Rail,2026-06-22T08:00:00,2026-06-28T12:00:00,9406,5067650,Open Top,Tier 3
SH351,Port of Rotterdam,Port of Hamburg,Apex Cargo,Rail,2026-06-28T08:00:00,2026-06-30T07:00:00,7651,9186621,Dry Van,Tier 3
SH352,Port of Rotterdam,Port of Shanghai,Global Trans,Rail,2026-06-26T08:00:00,2026-06-30T04:00:00,10373,6353745,Standard,Tier 3
SH353,Port of Shanghai,Port of New York,Swift Logistics,Road,2026-06-24T08:00:00,2026-06-30T01:00:00,11871,7569817,Flat Rack,Tier 1
SH354,Port of Shanghai,Port of Hamburg,Apex Cargo,Air,2026-06-07T08:00:00,2026-06-07T06:00:00,5547,8594291,Open Top,Tier 2
SH355,Port of Mumbai,Port of Hamburg,Atlas Freight,Rail,2026-06-22T08:00:00,2026-06-29T05:00:00,10400,1505465,Dry Van,Tier 1
SH356,Port of Mumbai,Port of New York,Atlas Freight,Ocean,2026-06-25T08:00:00,2026-06-27T23:00:00,3597,4805976,Reefer,Tier 1
SH357,Port of Hamburg,Port of Dubai,Oceanic Link,Air,2026-06-04T08:00:00,2026-06-04T17:00:00,13646,5544339,Reefer,Tier 3
SH358,Port of Los Angeles,Port of Singapore,Global Trans,Ocean,2026-06-23T08:00:00,2026-06-23T12:00:00,645,4478690,Open Top,Tier 1
SH359,Port of Singapore,Port of London,Oceanic Link,Road,2026-06-16T08:00:00,2026-06-18T04:00:00,3679,1062384,Flat Rack,Tier 1
SH360,Port of Hamburg,Port of Shanghai,Swift Logistics,Rail,2026-06-13T08:00:00,2026-06-18T15:00:00,8122,5384538,Reefer,Tier 2
SH361,Port of Hamburg,Port of Mumbai,Oceanic Link,Air,2026-06-29T08:00:00,2026-06-29T02:00:00,1843,307681,Dry Van,Tier 2
SH362,Port of Tokyo,Port of Mumbai,Oceanic Link,Road,2026-06-04T08:00:00,2026-06-12T04:00:00,13786,5402727,Open Top,Tier 3
SH363,Port of Singapore,Port of New York,Global Trans,Rail,2026-06-01T08:00:00,2026-06-07T20:00:00,9882,5609277,Open Top,Tier 1
SH364,Port of Los Angeles,Port of Dubai,Oceanic Link,Rail,2026-06-13T08:00:00,2026-06-17T03:00:00,5972,453322,Standard,Tier 3
SH365,Port of Shanghai,Port of Sydney,Global Trans,Rail,2026-06-12T08:00:00,2026-06-19T19:00:00,11256,4127716,Reefer,Tier 3
SH366,Port of Hamburg,Port of Dubai,Swift Logistics,Air,2026-06-17T08:00:00,2026-06-17T07:00:00,5749,8433190,Open Top,Tier 3
SH367,Port of Rotterdam,Port of Hamburg,Atlas Freight,Rail,2026-06-15T08:00:00,2026-06-15T19:00:00,1161,2601331,Flat Rack,Tier 1
SH368,Port of Shanghai,Port of Singapore,Global Trans,Air,2026-06-12T08:00:00,2026-06-12T09:00:00,7313,4998600,Open Top,Tier 2
SH369,Port of Newark,Port of Sydney,Swift Logistics,Rail,2026-06-05T08:00:00,2026-06-05T12:00:00,736,3822763,Dry Van,Tier 1
SH370,Port of Los Angeles,Port of Shanghai,Atlas Freight,Ocean,2026-06-18T08:00:00,2026-06-18T15:00:00,785,6177764,Open Top,Tier 3
SH371,Port of Newark,Port of Singapore,Oceanic Link,Ocean,2026-06-14T08:00:00,2026-06-23T14:00:00,11523,3391861,Open Top,Tier 3
SH372,Port of Los Angeles,Port of Mumbai,Global Trans,Ocean,2026-06-25T08:00:00,2026-06-30T13:00:00,10293,8654008,Flat Rack,Tier 2
SH373,Port of Shanghai,Port of Mumbai,Swift Logistics,Road,2026-06-23T08:00:00,2026-06-26T10:00:00,5799,8167654,Reefer,Tier 3
SH374,Port of Mumbai,Port of Sydney,Swift Logistics,Road,2026-06-12T08:00:00,2026-06-14T22:00:00,4937,776331,Flat Rack,Tier 2
SH375,Port of Tokyo,Port of Mumbai,Global Trans,Air,2026-06-06T08:00:00,2026-06-06T11:00:00,9285,7424626,Reefer,Tier 3
SH376,Port of Rotterdam,Port of Shanghai,Atlas Freight,Air,2026-06-27T08:00:00,2026-06-27T10:00:00,8764,9565406,Flat Rack,Tier 1
SH377,Port of Singapore,Port of Dubai,Global Trans,Air,2026-06-25T08:00:00,2026-06-25T08:00:00,6407,1540687,Reefer,Tier 3
SH378,Port of Hamburg,Port of Singapore,Oceanic Link,Rail,2026-06-03T08:00:00,2026-06-09T02:00:00,8786,3418045,Flat Rack,Tier 2
SH379,Port of Shanghai,Port of New York,Oceanic Link,Ocean,2026-06-25T08:00:00,2026-06-27T12:00:00,3029,7635159,Flat Rack,Tier 1
SH380,Port of Tokyo,Port of Sydney,Apex Cargo,Rail,2026-06-14T08:00:00,2026-06-19T07:00:00,7679,4252271,Open Top,Tier 2
SH381,Port of Los Angeles,Port of Hamburg,Apex Cargo,Rail,2026-06-02T08:00:00,2026-06-04T01:00:00,2994,914645,Flat Rack,Tier 1
SH382,Port of Los Angeles,Port of Singapore,Swift Logistics,Road,2026-06-25T08:00:00,2026-06-29T13:00:00,7654,8386900,Dry Van,Tier 1
SH383,Port of Singapore,Port of New York,Swift Logistics,Air,2026-06-09T08:00:00,2026-06-09T17:00:00,14064,9972462,Standard,Tier 2
SH384,Port of Rotterdam,Port of London,Oceanic Link,Rail,2026-06-04T08:00:00,2026-06-13T00:00:00,12977,8576086,Open Top,Tier 3
SH385,Port of Tokyo,Port of Shanghai,Oceanic Link,Ocean,2026-06-04T08:00:00,2026-06-05T13:00:00,1882,8865995,Open Top,Tier 1
SH386,Port of Los Angeles,Port of New York,Global Trans,Road,2026-06-27T08:00:00,2026-06-30T01:00:00,10200,2480525,Flat Rack,Tier 2
SH387,Port of Los Angeles,Port of New York,Apex Cargo,Ocean,2026-06-06T08:00:00,2026-06-15T10:00:00,11337,9032913,Dry Van,Tier 2
SH388,Port of Tokyo,Port of London,Global Trans,Road,2026-06-21T08:00:00,2026-06-26T01:00:00,8493,9476807,Flat Rack,Tier 2
SH389,Port of Singapore,Port of Hamburg,Apex Cargo,Ocean,2026-06-17T08:00:00,2026-06-19T09:00:00,2885,9141044,Flat Rack,Tier 1
SH390,Port of Rotterdam,Port of Mumbai,Atlas Freight,Road,2026-06-04T08:00:00,2026-06-07T03:00:00,5298,2657411,Flat Rack,Tier 2
SH391,Port of Singapore,Port of Sydney,Atlas Freight,Air,2026-06-29T08:00:00,2026-06-29T06:00:00,5339,9035826,Standard,Tier 3
SH392,Port of Mumbai,Port of Dubai,Apex Cargo,Air,2026-06-24T08:00:00,2026-06-24T13:00:00,11136,1478080,Standard,Tier 1
SH393,Port of Shanghai,Port of Mumbai,Oceanic Link,Air,2026-06-18T08:00:00,2026-06-18T01:00:00,1071,9490815,Flat Rack,Tier 2
SH394,Port of Singapore,Port of Sydney,Apex Cargo,Rail,2026-06-28T08:00:00,2026-06-30T12:00:00,9406,2568970,Standard,Tier 3
SH395,Port of Tokyo,Port of Shanghai,Apex Cargo,Road,2026-06-08T08:00:00,2026-06-16T11:00:00,14227,2211088,Flat Rack,Tier 1
SH396,Port of Shanghai,Port of Singapore,Swift Logistics,Ocean,2026-06-05T08:00:00,2026-06-11T21:00:00,8288,5845250,Dry Van,Tier 1
SH397,Port of Los Angeles,Port of London,Global Trans,Road,2026-06-07T08:00:00,2026-06-07T12:00:00,865,8841690,Open Top,Tier 3
SH398,Port of Rotterdam,Port of Sydney,Swift Logistics,Road,2026-06-08T08:00:00,2026-06-14T15:00:00,11181,3225684,Flat Rack,Tier 3
SH399,Port of Newark,Port of Hamburg,Atlas Freight,Ocean,2026-06-15T08:00:00,2026-06-16T10:00:00,1746,5353943,Standard,Tier 3
SH400,Port of Singapore,Port of Dubai,Oceanic Link,Rail,2026-06-26T08:00:00,2026-06-30T04:00:00,7479,5187997,Standard,Tier 3
SH401,Port of Tokyo,Port of New York,Global Trans,Air,2026-06-02T08:00:00,2026-06-02T03:00:00,2696,1053171,Open Top,Tier 2
SH402,Port of Mumbai,Port of New York,Apex Cargo,Rail,2026-06-15T08:00:00,2026-06-18T02:00:00,4483,1031883,Reefer,Tier 1
SH403,Port of Shanghai,Port of Hamburg,Oceanic Link,Ocean,2026-06-22T08:00:00,2026-06-26T05:00:00,5083,8231883,Reefer,Tier 3
SH404,Port of Los Angeles,Port of New York,Atlas Freight,Ocean,2026-06-24T08:00:00,2026-06-30T22:00:00,11935,9318511,Dry Van,Tier 3
SH405,Port of Hamburg,Port of Sydney,Global Trans,Rail,2026-06-15T08:00:00,2026-06-19T01:00:00,5841,8618438,Standard,Tier 2
SH406,Port of Singapore,Port of London,Apex Cargo,Air,2026-06-22T08:00:00,2026-06-22T14:00:00,11400,7930317,Open Top,Tier 1
SH407,Port of Mumbai,Port of Sydney,Oceanic Link,Air,2026-06-29T08:00:00,2026-06-29T09:00:00,7503,930412,Flat Rack,Tier 1
SH408,Port of Hamburg,Port of Shanghai,Atlas Freight,Road,2026-06-12T08:00:00,2026-06-19T08:00:00,12370,534814,Dry Van,Tier 1
SH409,Port of Hamburg,Port of Singapore,Swift Logistics,Ocean,2026-06-19T08:00:00,2026-06-20T20:00:00,2224,5359792,Dry Van,Tier 2
SH410,Port of Tokyo,Port of London,Atlas Freight,Road,2026-06-08T08:00:00,2026-06-13T22:00:00,9996,938036,Reefer,Tier 3
SH411,Port of Shanghai,Port of Sydney,Apex Cargo,Road,2026-06-10T08:00:00,2026-06-10T13:00:00,948,2448083,Dry Van,Tier 2
SH412,Port of Singapore,Port of Dubai,Oceanic Link,Air,2026-06-16T08:00:00,2026-06-16T02:00:00,1928,7338538,Dry Van,Tier 3
SH413,Port of Hamburg,Port of Mumbai,Atlas Freight,Rail,2026-06-14T08:00:00,2026-06-21T14:00:00,10973,566409,Open Top,Tier 3
SH414,Port of Shanghai,Port of Hamburg,Apex Cargo,Ocean,2026-06-04T08:00:00,2026-06-06T14:00:00,3134,1985090,Dry Van,Tier 3
SH415,Port of Tokyo,Port of London,Atlas Freight,Rail,2026-06-22T08:00:00,2026-06-23T16:00:00,2429,4792297,Flat Rack,Tier 3
SH416,Port of Newark,Port of Singapore,Apex Cargo,Air,2026-06-20T08:00:00,2026-06-20T13:00:00,10777,154195,Open Top,Tier 3
SH417,Port of Shanghai,Port of Singapore,Atlas Freight,Ocean,2026-06-23T08:00:00,2026-06-30T02:00:00,13313,3264850,Flat Rack,Tier 3
SH418,Port of Los Angeles,Port of Sydney,Global Trans,Air,2026-06-17T08:00:00,2026-06-17T01:00:00,1093,2554594,Open Top,Tier 3
SH419,Port of Tokyo,Port of New York,Swift Logistics,Air,2026-06-06T08:00:00,2026-06-06T01:00:00,1163,9529276,Open Top,Tier 3
SH420,Port of Hamburg,Port of Shanghai,Atlas Freight,Rail,2026-06-18T08:00:00,2026-06-25T11:00:00,10758,5560493,Standard,Tier 2
SH421,Port of Tokyo,Port of Sydney,Oceanic Link,Road,2026-06-22T08:00:00,2026-06-27T10:00:00,9167,5582410,Dry Van,Tier 3
SH422,Port of Hamburg,Port of Mumbai,Oceanic Link,Air,2026-06-15T08:00:00,2026-06-15T02:00:00,1783,361955,Dry Van,Tier 3
SH423,Port of Mumbai,Port of London,Swift Logistics,Road,2026-06-29T08:00:00,2026-06-30T21:00:00,14972,4748713,Flat Rack,Tier 1
SH424,Port of Singapore,Port of Hamburg,Swift Logistics,Ocean,2026-06-27T08:00:00,2026-06-30T00:00:00,14430,3289536,Flat Rack,Tier 3
SH425,Port of Hamburg,Port of Sydney,Apex Cargo,Road,2026-06-29T08:00:00,2026-06-30T03:00:00,1949,5055858,Reefer,Tier 3
SH426,Port of Newark,Port of London,Atlas Freight,Ocean,2026-06-07T08:00:00,2026-06-14T19:00:00,9395,2916757,Reefer,Tier 1
SH427,Port of Tokyo,Port of Hamburg,Swift Logistics,Ocean,2026-06-20T08:00:00,2026-06-22T18:00:00,3339,3701387,Open Top,Tier 1
SH428,Port of Newark,Port of Mumbai,Atlas Freight,Ocean,2026-06-23T08:00:00,2026-06-24T14:00:00,1931,7034297,Open Top,Tier 2
SH429,Port of Los Angeles,Port of New York,Global Trans,Rail,2026-06-06T08:00:00,2026-06-14T10:00:00,12163,6860805,Reefer,Tier 3
SH430,Port of Los Angeles,Port of Mumbai,Apex Cargo,Rail,2026-06-25T08:00:00,2026-06-30T05:00:00,10411,708003,Reefer,Tier 3
SH431,Port of Hamburg,Port of London,Global Trans,Ocean,2026-06-11T08:00:00,2026-06-23T07:00:00,14798,2142101,Reefer,Tier 3
SH432,Port of Los Angeles,Port of Shanghai,Apex Cargo,Air,2026-06-21T08:00:00,2026-06-21T15:00:00,12429,3591483,Standard,Tier 2
SH433,Port of Singapore,Port of London,Swift Logistics,Road,2026-06-12T08:00:00,2026-06-13T08:00:00,2253,500930,Standard,Tier 3
SH434,Port of Shanghai,Port of London,Oceanic Link,Ocean,2026-06-25T08:00:00,2026-06-30T12:00:00,7845,5453252,Open Top,Tier 2
SH435,Port of Tokyo,Port of New York,Oceanic Link,Ocean,2026-06-26T08:00:00,2026-06-30T15:00:00,10379,6439308,Flat Rack,Tier 3
SH436,Port of Rotterdam,Port of Mumbai,Oceanic Link,Ocean,2026-06-21T08:00:00,2026-06-22T18:00:00,2133,5501973,Reefer,Tier 2
SH437,Port of Hamburg,Port of Dubai,Oceanic Link,Air,2026-06-22T08:00:00,2026-06-22T09:00:00,7485,5882801,Dry Van,Tier 3
SH438,Port of Los Angeles,Port of Shanghai,Atlas Freight,Road,2026-06-07T08:00:00,2026-06-07T15:00:00,1110,5097999,Dry Van,Tier 3
SH439,Port of Hamburg,Port of London,Global Trans,Road,2026-06-20T08:00:00,2026-06-25T19:00:00,9783,915139,Flat Rack,Tier 3
SH440,Port of Los Angeles,Port of New York,Swift Logistics,Ocean,2026-06-17T08:00:00,2026-06-26T18:00:00,11740,6872567,Reefer,Tier 3
SH441,Port of Tokyo,Port of Hamburg,Oceanic Link,Rail,2026-06-03T08:00:00,2026-06-12T18:00:00,14065,5121915,Standard,Tier 2
SH442,Port of Mumbai,Port of Shanghai,Atlas Freight,Road,2026-06-19T08:00:00,2026-06-23T07:00:00,7244,6551553,Dry Van,Tier 3
SH443,Port of Rotterdam,Port of Shanghai,Atlas Freight,Air,2026-06-04T08:00:00,2026-06-04T00:00:00,507,8561383,Open Top,Tier 3
SH444,Port of Hamburg,Port of New York,Oceanic Link,Road,2026-06-20T08:00:00,2026-06-25T02:00:00,8578,4463359,Reefer,Tier 1
SH445,Port of Mumbai,Port of London,Global Trans,Road,2026-06-18T08:00:00,2026-06-21T05:00:00,5443,7396562,Flat Rack,Tier 3
SH446,Port of Rotterdam,Port of Shanghai,Oceanic Link,Rail,2026-06-16T08:00:00,2026-06-18T13:00:00,3700,9213766,Flat Rack,Tier 3
SH447,Port of Rotterdam,Port of London,Atlas Freight,Air,2026-06-12T08:00:00,2026-06-12T14:00:00,11705,6203973,Dry Van,Tier 3
SH448,Port of Rotterdam,Port of New York,Oceanic Link,Road,2026-06-02T08:00:00,2026-06-08T07:00:00,10602,5805892,Flat Rack,Tier 3
SH449,Port of Los Angeles,Port of Sydney,Global Trans,Road,2026-06-03T08:00:00,2026-06-09T02:00:00,10286,8971334,Dry Van,Tier 3
SH450,Port of Shanghai,Port of Sydney,Oceanic Link,Rail,2026-06-28T08:00:00,2026-06-30T12:00:00,13717,5554381,Flat Rack,Tier 3
SH451,Port of Hamburg,Port of Mumbai,Atlas Freight,Air,2026-06-25T08:00:00,2026-06-25T17:00:00,14245,5948885,Dry Van,Tier 3
SH452,Port of Rotterdam,Port of Hamburg,Atlas Freight,Rail,2026-06-12T08:00:00,2026-06-14T02:00:00,3004,1835559,Reefer,Tier 3
SH453,Port of Los Angeles,Port of New York,Global Trans,Rail,2026-06-21T08:00:00,2026-06-23T16:00:00,3848,7606855,Reefer,Tier 1
SH454,Port of Rotterdam,Port of Sydney,Global Trans,Ocean,2026-06-25T08:00:00,2026-06-30T19:00:00,6950,4912894,Reefer,Tier 3
SH455,Port of Tokyo,Port of Shanghai,Oceanic Link,Ocean,2026-06-29T08:00:00,2026-06-30T01:00:00,7263,344746,Dry Van,Tier 1
SH456,Port of Newark,Port of Hamburg,Global Trans,Road,2026-06-01T08:00:00,2026-06-06T17:00:00,9627,8562558,Standard,Tier 3
SH457,Port of Newark,Port of Singapore,Swift Logistics,Rail,2026-06-21T08:00:00,2026-06-21T15:00:00,941,4070120,Flat Rack,Tier 1
SH458,Port of Hamburg,Port of Singapore,Atlas Freight,Air,2026-06-03T08:00:00,2026-06-03T08:00:00,6615,525595,Standard,Tier 3
SH459,Port of Los Angeles,Port of London,Global Trans,Road,2026-06-24T08:00:00,2026-06-30T10:00:00,12500,859178,Dry Van,Tier 1
SH460,Port of Mumbai,Port of Singapore,Atlas Freight,Ocean,2026-06-14T08:00:00,2026-06-21T22:00:00,9531,6467954,Dry Van,Tier 3
SH461,Port of Rotterdam,Port of Sydney,Oceanic Link,Ocean,2026-06-22T08:00:00,2026-06-22T18:00:00,923,7020199,Reefer,Tier 3
SH462,Port of Newark,Port of Mumbai,Swift Logistics,Air,2026-06-20T08:00:00,2026-06-20T04:00:00,3446,289017,Dry Van,Tier 3
